First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Universität Freiburg, Department Historische Wissenschaften, Fribourg, Schweiz E-mail: regula.schmidkeeling@unifr.ch","Schmid Keeling, Regula",unifr,10.1515/hzhz-2014-1467,https://doi.org/10.1515/hzhz-2014-1467,http://doc.rero.ch/record/302834/files/hzhz-2014-1467.pdf,"Bastian Walter, Informationen, Wissen und Macht. Akteure und Techniken städtischer Außenpolitik: Bern, Straßburg und Basel im Kontext der Burgunderkriege (1468–1477). (Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte – Beihefte, Bd. 218.) Stuttgart, Steiner 2012",,"Schmid Keeling, Regula",2014,Historische Zeitschrift,"Universität Freiburg, Department Historische Wissenschaften, Fribourg, Schweiz E-mail: regula.schmidkeeling@unifr.ch",De Gruyter Oldenbourg,,299,3,772,774,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20141467,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20141467&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20141467&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20141467&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Faculté des Lettres, Université de Fribourg, Av. de l’Europe 20, 1700 Fribourg, Suisse;","Andrist, Patrick",unifr,10.1515/bz-2014-0011,https://doi.org/10.1515/bz-2014-0011,http://doc.rero.ch/record/296242/files/bz-2014-0011.pdf,II. ABTEILUNG,,"Andrist, Patrick;Teegen, Wolf-Rüdiger;Bogdanović, Jelena;Stefec, Rudolf;Mariev, Sergei;Viglas, Katelis;Yost, Charles C.;Altripp, Michael",2014,Byzantinische Zeitschrift,"Faculté des Lettres, Université de Fribourg, Av. de l’Europe 20, 1700 Fribourg, Suisse;;Ludwig-Maximilians-Universität München, Institut für Vor- und Frühgeschichtliche Archäologie und Provinzialrömische Archäologie / ArchaeoBioCenter, Geschwister-Scholl-Platz 1, 80539 München, Deutschland;146 College of Design, Department of Architecture, Iowa State University, Ames, IA 50011, USA;Institut für Byzantinistik und Neogräzistik, Universität Wien, Postgasse 7/1/3, 1010 Wien, Österreich;Institut für Byzantinistik, LMU, Geschwister-Scholl-Platz 1, 80539 München, Deutschland;;Agiou Georgiou 30, 37400 Nea Anchialos-Volos, Greecee;University of Notre Dame, Medieval Institute, 715 Hesburgh Library, Notre Dame, IN 46556, USA;Ringstraße 42a, 17498 Hinrichshagen, Deutschland",De Gruyter,,107,1,253,292,0007-7704,1868-9027,copyright,© 2014 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bz20140011,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20140011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20140011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20140011&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Reiner Eichenberger is Associate Professor at the Centre for Public Finance, University of Fribourg, Av. de Beauregard 13, CH-1700 Fribourg, Switzerland","Eichenberger, Reiner",unifr,10.1515/jeeh-2000-0408,https://doi.org/10.1515/jeeh-2000-0408,http://doc.rero.ch/record/295793/files/jeeh-2000-0408.pdf,The Ranking Of Economists And Management Scientists In Europe A Quantitative Analysis,,"Frey, Bruno S.;Eichenberger, Reiner",2000,Journal de Economistes et des Etudes Humaines,"Bruno S. Frey is Professor of Economics at the Institute for Empirical Research in Economics, University of Zurich, Blumlisalpstr. 10, CH-8006 Zurich, Switzerland;Reiner Eichenberger is Associate Professor at the Centre for Public Finance, University of Fribourg, Av. de Beauregard 13, CH-1700 Fribourg, Switzerland",De Gruyter,,10,4,575,582,2194-5799,2153-1552,copyright,© 2014 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jeeh20000408,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jeeh20000408&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jeeh20000408&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jeeh20000408&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Lecturer in Nursing, High School of Health Sciences, University of Applied Sciences Western Switzerland, Fribourg, Switzerland","Gasser, Catherine",unifr,10.1515/ijnes-2013-0022,https://doi.org/10.1515/ijnes-2013-0022,http://doc.rero.ch/record/294769/files/ijnes-2013-0022.pdf,"Bologna Process, More or Less: Nursing Education in the European Economic Area: A Discussion Paper",,"Palese, Alvisa;Zabalegui, Adelaida;Sigurdardottir, Arun K.;Bergin, Michael;Dobrowolska, Beata;Gasser, Catherine;Pajnkihar, Majda;Jackson, Christine",2014,International Journal of Nursing Education Scholarship,"Associate Professor in Nursing Science, University of Udine, Viale Ungheria 20, 33100 Udine, Italy;Director of Nursing at Hospital Clinic of Barcelona, Spain;Professor, Dean of School of Health Sciences, University of Akureyri, Iceland;Lecturer in Nursing, Department of Nursing, School of Health Sciences, Waterford Institute of Technology, Ireland;Teacher (adjunct), Medical University of Lublin, Faculty of Nursing and Health Science, Chair of Nursing Development, Lublin, Poland;Lecturer in Nursing, High School of Health Sciences, University of Applied Sciences Western Switzerland, Fribourg, Switzerland;Associate Professor, Dean, Faculty of Health Sciences, University of Maribor, Slovenia;Principal Research Fellow, Faculty of Health, Life and Social Sciences, University of Lincoln, UK",De Gruyter,,11,1,63,73,2194-5772,1548-923X,copyright,©2014 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ijnes20130022,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijnes20130022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijnes20130022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijnes20130022&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Department of Biology, 10, chemin du Museé, CH-1700 Fribourg, Switzerland","Stocker, Reinhard F.",unifr,10.1093/chemse/bjl030,https://doi.org/10.1093/chemse/bjl030,http://doc.rero.ch/record/298529/files/bjl030.pdf,The Drosophila Larva as a Model for Studying Chemosensation and Chemosensory Learning: A Review,,"Gerber, Bertram;Stocker, Reinhard F.",2006,Chemical Senses,"Universität Würzburg, Biozentrum, Am Hubland, Lehrstuhl für Genetik und Neurobiologie, D-97074 Würzburg, Germany E-mail: bertram.gerber@biozentrum.uni-wuerzburg.de;University of Fribourg, Department of Biology, 10, chemin du Museé, CH-1700 Fribourg, Switzerland",Oxford University Press,,32,1,65,89,0379-864X,1464-3553,open-access,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/2.0/uk/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093chemsebjl030,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjl030&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjl030&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjl030&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Physiology, University of Fribourg, Fribourg, SwitzerlandCHE E-mail: jean-pierre.montani@unifr.ch","Wang, Jingli",unifr,10.1016/S0895-7061(98)00250-7,https://doi.org/10.1016/S0895-7061(98)00250-7,http://doc.rero.ch/record/301795/files/12_4_423.pdf,Regulation of blood pressure during long-term ouabain infusion in Long-Evans rats,,"Wang, Jingli;Tempini, Aldo;Schnyder, Bruno;Montani, Jean-Pierre",1999,American Journal of Hypertension,"Institute of Physiology, University of Fribourg, Fribourg, SwitzerlandCHE E-mail: jean-pierre.montani@unifr.ch;Institute of Physiology, University of Fribourg, Fribourg, SwitzerlandCHE E-mail: jean-pierre.montani@unifr.ch;Institute of Physiology, University of Fribourg, Fribourg, SwitzerlandCHE E-mail: jean-pierre.montani@unifr.ch;Institute of Physiology, University of Fribourg, Fribourg, SwitzerlandCHE E-mail: jean-pierre.montani@unifr.ch E-mail: jean-pierre.montani@unifr.ch",Oxford University Press,,12,4,423,426,0895-7061,1941-7225,copyright,"© 1999 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0895706198002507,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002507&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002507&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002507&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Physiology, University of Fribourg, Fribourg, Switzerland. E-mail: vanvliet@mun.ca","Montani, Jean-Pierre",unifr,10.1016/j.amjhyper.2006.05.025,https://doi.org/10.1016/j.amjhyper.2006.05.025,http://doc.rero.ch/record/299698/files/19_12_1264.pdf,Increased Salt-Sensitivity in Endothelial Nitric Oxide Synthase–Knockout Mice,,"Leonard, Allison M.;Chafe, Linda L.;Montani, Jean-Pierre;Van Vliet, Bruce N.",2006,American Journal of Hypertension,"Faculty of Medicine, Memorial University of Newfoundland, St. John’s, Newfoundland, Canada E-mail: vanvliet@mun.ca;Faculty of Medicine, Memorial University of Newfoundland, St. John’s, Newfoundland, Canada E-mail: vanvliet@mun.ca;Institute of Physiology, University of Fribourg, Fribourg, Switzerland. E-mail: vanvliet@mun.ca;Faculty of Medicine, Memorial University of Newfoundland, St. John’s, Newfoundland, Canada E-mail: vanvliet@mun.ca E-mail: vanvliet@mun.ca",Oxford University Press,,19,12,1264,1269,0895-7061,1941-7225,copyright,"© 2006 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016jamjhyper200605025,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jamjhyper200605025&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jamjhyper200605025&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jamjhyper200605025&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Misericorde University Fribourg, Switzerland","Valarche, J.",unifr,10.1093/erae/8.2-3.377,https://doi.org/10.1093/erae/8.2-3.377,http://doc.rero.ch/record/294037/files/8-2-3-377.pdf,Mountain and hill areas,,"Popp, H.;Valarche, J.",1981,European Review of Agricultural Economics,"Federal Department of Agriculture Bern, Switzerland;Misericorde University Fribourg, Switzerland",Oxford University Press,,8,2-3,377,382,0165-1587,1464-3618,copyright,© Mouton Publishers,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093erae823377,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093erae823377&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093erae823377&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093erae823377&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Dorsch, Fabian",unifr,10.1111/1467-9213.12063,https://doi.org/10.1111/1467-9213.12063,http://doc.rero.ch/record/289376/files/pq63-0660.pdf,Non‐Inferentialism about Justification – The Case of Aesthetic Judgements,,"Dorsch, Fabian",2013,The Philosophical Quarterly,University of Fribourg,Blackwell Publishers Ltd,,63,253,660,682,0031-8094,1467-9213,copyright,© 2013 The Editors of The Philosophical Quarterly,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford1011111467921312063,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1011111467921312063&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1011111467921312063&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1011111467921312063&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Plant Biology, Basel–Zurich Plant Science Center, University of Zurich, CH-8008 Zurich, Switzerland Present address: University of Fribourg, Department of Biology, Plant Biology, CH-1700 Fribourg, Switzerland.","Wang, Bangjun",unifr,10.1093/pcp/pcs149,https://doi.org/10.1093/pcp/pcs149,http://doc.rero.ch/record/289592/files/pcs149.pdf,Arabidopsis ABCB21 is a Facultative Auxin Importer/Exporter Regulated by Cytoplasmic Auxin Concentration,,"Kamimoto, Yoshihisa;Terasaka, Kazuyoshi;Hamamoto, Masafumi;Takanashi, Kojiro;Fukuda, Shoju;Shitan, Nobukazu;Sugiyama, Akifumi;Suzuki, Hideyuki;Shibata, Daisuke;Wang, Bangjun;Pollmann, Stephan;Geisler, Markus;Yazaki, Kazufumi",2012,Plant and Cell Physiology,"Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Graduate School of Pharmaceutical Sciences, Nagoya City University, Japan;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan;Kazusa DNA Research Institute, 2-6-7 Kazusakamatari, Kisarazu, Chiba, 292-0818 Japan;Kazusa DNA Research Institute, 2-6-7 Kazusakamatari, Kisarazu, Chiba, 292-0818 Japan;Institute of Plant Biology, Basel–Zurich Plant Science Center, University of Zurich, CH-8008 Zurich, Switzerland Present address: University of Fribourg, Department of Biology, Plant Biology, CH-1700 Fribourg, Switzerland.;Ruhr-Universität Bochum, Lehrstuhl für Pflanzenphysiologie, Germany Present address: Centro de Biotecnología y Genómica de Plantas, Campus de Montegancedo, 28223 Pozuelo de Alarcón, Madrid, Spain.;Institute of Plant Biology, Basel–Zurich Plant Science Center, University of Zurich, CH-8008 Zurich, Switzerland Present address: University of Fribourg, Department of Biology, Plant Biology, CH-1700 Fribourg, Switzerland.;Laboratory of Plant Gene Expression, Research Institute for Sustainable Humanosphere, Kyoto University, Gokasho Uji, 611-0011 Japan E-mail: yazaki@rish.kyoto-u.ac.jp",Oxford University Press,,53,12,2090,2100,0032-0781,1471-9053,copyright,"© The Author 2012. Published by Oxford University Press on behalf of Japanese Society of Plant Physiologists. All rights reserved. For permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093pcppcs149,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcs149&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcs149&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcs149&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
